City,Country,Longitude,Latitude,Humidity,Cloudiness,Max_Temp,Wind_Speed,Date
Rikitea,PF,-134.97,-23.12,78,0,26.42,6.98,"(2020, 2, 10)"
Nikolskoye,RU,30.79,59.7,80,90,4.0,5.0,"(2020, 2, 10)"
Hualmay,PE,-77.61,-11.1,78,100,21.36,2.02,"(2020, 2, 10)"
Tuktoyaktuk,CA,-133.04,69.45,68,20,-29.0,5.7,"(2020, 2, 10)"
Hilo,US,-155.09,19.73,50,40,25.0,6.7,"(2020, 2, 10)"
Fuegen,AT,11.85,47.35,86,75,5.56,1.5,"(2020, 2, 10)"
Albany,US,-73.97,42.6,90,90,3.0,2.1,"(2020, 2, 10)"
Bredasdorp,ZA,20.04,-34.53,82,32,20.0,1.5,"(2020, 2, 10)"
Nara,JP,135.8,34.69,45,20,10.0,1.5,"(2020, 2, 10)"
Norman Wells,CA,-126.83,65.28,84,40,-19.0,2.6,"(2020, 2, 10)"
Airai,TL,125.41,-8.93,76,71,25.63,1.58,"(2020, 2, 10)"
Shar,KZ,81.05,49.59,94,100,-16.3,7.08,"(2020, 2, 10)"
Guerrero Negro,MX,-114.06,27.98,61,45,14.82,6.74,"(2020, 2, 10)"
Tsabong,BW,22.4,-26.02,51,97,24.92,8.29,"(2020, 2, 10)"
Mahebourg,MU,57.7,-20.41,88,75,27.78,5.7,"(2020, 2, 10)"
Avarua,CK,-159.78,-21.21,88,100,28.0,2.6,"(2020, 2, 10)"
Sinnamary,GF,-52.95,5.38,84,24,26.12,8.85,"(2020, 2, 10)"
Tiksi,RU,128.87,71.69,89,3,-32.22,2.09,"(2020, 2, 10)"
Busselton,AU,115.33,-33.65,19,0,32.22,2.38,"(2020, 2, 10)"
Ushuaia,AR,-68.3,-54.8,87,40,9.0,2.6,"(2020, 2, 10)"
Boa Vista,BR,-60.67,2.82,61,92,27.0,3.6,"(2020, 2, 10)"
George Town,MY,100.34,5.41,66,20,30.0,2.1,"(2020, 2, 10)"
Vaini,TO,-175.2,-21.2,83,75,29.0,3.6,"(2020, 2, 10)"
Grindavik,IS,-22.43,63.84,80,75,1.0,8.2,"(2020, 2, 10)"
Saskylakh,RU,114.08,71.92,97,99,-28.21,2.95,"(2020, 2, 10)"
Kapaa,US,-159.32,22.08,77,75,23.0,12.9,"(2020, 2, 10)"
Hobart,AU,147.33,-42.88,77,75,24.44,3.1,"(2020, 2, 10)"
Hambantota,LK,81.12,6.12,78,0,28.0,6.7,"(2020, 2, 10)"
Winder,US,-83.72,33.99,93,90,12.0,1.5,"(2020, 2, 10)"
Tasiilaq,GL,-37.64,65.61,74,100,-2.0,2.1,"(2020, 2, 10)"
Samarai,PG,150.67,-10.62,55,63,32.87,1.66,"(2020, 2, 10)"
Longyearbyen,SJ,15.64,78.22,60,20,-13.0,10.8,"(2020, 2, 10)"
Orlik,RU,99.83,52.52,91,99,-11.1,0.47,"(2020, 2, 10)"
New Norfolk,AU,147.06,-42.78,77,75,24.44,3.1,"(2020, 2, 10)"
Pevek,RU,170.31,69.7,80,0,-28.95,1.99,"(2020, 2, 10)"
Hong Kong,HK,114.16,22.29,77,40,21.11,5.1,"(2020, 2, 10)"
Hermanus,ZA,19.23,-34.42,80,0,20.0,8.39,"(2020, 2, 10)"
Atuona,PF,-139.03,-9.8,72,0,27.11,7.2,"(2020, 2, 10)"
Yingkou,CN,122.23,40.66,83,0,2.69,5.62,"(2020, 2, 10)"
Kartuzy,PL,18.2,54.33,75,100,3.89,6.2,"(2020, 2, 10)"
Constitucion,CL,-72.42,-35.33,91,0,13.43,1.6,"(2020, 2, 10)"
Isangel,VU,169.27,-19.55,84,75,30.0,5.1,"(2020, 2, 10)"
Mahbubabad,IN,80.02,17.62,79,28,22.63,3.85,"(2020, 2, 10)"
Ribeira Grande,PT,-28.7,38.52,90,74,14.14,3.97,"(2020, 2, 10)"
Rome,US,-75.46,43.21,100,90,1.0,0.55,"(2020, 2, 10)"
Thompson,CA,-97.86,55.74,84,75,-16.0,1.84,"(2020, 2, 10)"
Ancud,CL,-73.82,-41.87,93,0,10.0,1.5,"(2020, 2, 10)"
Lebu,CL,-73.65,-37.62,84,15,14.31,3.76,"(2020, 2, 10)"
Carnarvon,AU,113.63,-24.87,74,75,27.0,5.1,"(2020, 2, 10)"
Clyde River,CA,-68.59,70.47,83,90,-23.0,6.2,"(2020, 2, 10)"
Port Alfred,ZA,26.89,-33.59,92,0,17.78,2.24,"(2020, 2, 10)"
Bathsheba,BB,-59.52,13.22,83,40,25.0,10.8,"(2020, 2, 10)"
Ormara,PK,64.64,25.21,46,26,22.54,2.72,"(2020, 2, 10)"
Acarau,BR,-40.12,-2.89,92,74,24.0,1.03,"(2020, 2, 10)"
Palmer,US,-72.33,42.16,93,90,5.56,0.54,"(2020, 2, 10)"
Meulaboh,ID,96.13,4.14,75,96,27.88,3.28,"(2020, 2, 10)"
Keti Bandar,PK,67.45,24.14,28,15,18.62,4.53,"(2020, 2, 10)"
Hervey Bay,AU,152.85,-25.3,66,40,31.0,5.1,"(2020, 2, 10)"
Vorontsovka,RU,40.35,50.61,84,40,-5.62,8.22,"(2020, 2, 10)"
Bluff,NZ,168.33,-46.6,82,65,14.44,4.92,"(2020, 2, 10)"
Mataura,NZ,168.86,-46.19,82,22,14.44,4.92,"(2020, 2, 10)"
Puerto Ayora,EC,-90.35,-0.74,87,76,25.52,3.2,"(2020, 2, 10)"
Katsuura,JP,140.3,35.13,34,20,10.56,4.6,"(2020, 2, 10)"
Salalah,OM,54.09,17.02,73,75,22.0,0.5,"(2020, 2, 10)"
Kodiak,US,-152.41,57.79,39,1,-2.0,10.3,"(2020, 2, 10)"
Alofi,NU,-169.92,-19.06,83,75,28.0,3.1,"(2020, 2, 10)"
Mossamedes,AO,12.15,-15.2,74,5,23.11,1.52,"(2020, 2, 10)"
Khatanga,RU,102.5,71.97,100,48,-35.99,0.82,"(2020, 2, 10)"
Praia da Vitoria,PT,-27.07,38.73,87,75,16.0,4.49,"(2020, 2, 10)"
Ostrovnoy,RU,39.51,68.05,83,69,-0.18,13.11,"(2020, 2, 10)"
Bowen,AU,148.23,-20.02,63,13,33.89,4.1,"(2020, 2, 10)"
Auki,SB,160.7,-8.77,83,100,28.21,10.46,"(2020, 2, 10)"
Kavaratti,IN,72.64,10.57,74,20,28.0,3.97,"(2020, 2, 10)"
Tautira,PF,-149.15,-17.73,62,20,31.0,2.1,"(2020, 2, 10)"
Mar del Plata,AR,-57.56,-38.0,82,4,17.22,1.5,"(2020, 2, 10)"
Batsfjord,NO,29.72,70.63,93,75,2.0,4.6,"(2020, 2, 10)"
Ahipara,NZ,173.17,-35.17,74,49,19.08,5.58,"(2020, 2, 10)"
Ilulissat,GL,-51.1,69.22,59,0,-18.0,8.2,"(2020, 2, 10)"
Nyuksenitsa,RU,44.24,60.41,87,100,-2.27,6.6,"(2020, 2, 10)"
Yellowknife,CA,-114.35,62.46,76,20,-22.78,4.6,"(2020, 2, 10)"
Rio Gallegos,AR,-69.22,-51.62,66,90,13.0,7.7,"(2020, 2, 10)"
Wamba,NG,8.6,8.93,22,0,21.88,2.69,"(2020, 2, 10)"
Virginia Beach,US,-75.98,36.85,77,90,17.22,4.6,"(2020, 2, 10)"
Boden,SE,21.69,65.83,89,100,0.0,2.6,"(2020, 2, 10)"
Malanje,AO,16.34,-9.54,98,100,16.34,2.33,"(2020, 2, 10)"
Qaanaaq,GL,-69.36,77.48,79,0,-24.73,0.77,"(2020, 2, 10)"
Provideniya,RU,-173.3,64.38,70,27,-21.0,4.0,"(2020, 2, 10)"
Bengkulu,ID,102.27,-3.8,50,0,31.11,0.91,"(2020, 2, 10)"
Mankono,CI,-6.19,8.06,54,91,24.04,0.7,"(2020, 2, 10)"
Xingcheng,CN,120.72,40.62,51,0,8.61,5.26,"(2020, 2, 10)"
Dingle,PH,122.67,11.0,77,70,25.34,6.64,"(2020, 2, 10)"
Jamestown,US,-79.24,42.1,96,90,1.67,0.85,"(2020, 2, 10)"
Port Elizabeth,ZA,25.57,-33.92,88,0,19.0,5.7,"(2020, 2, 10)"
Acapulco de Juarez,MX,-99.89,16.86,83,5,26.0,2.6,"(2020, 2, 10)"
Chifeng,CN,118.96,42.27,31,0,4.93,6.34,"(2020, 2, 10)"
Arrondissement de Mende,FR,3.5,44.67,92,91,4.13,4.71,"(2020, 2, 10)"
Chabahar,IR,60.64,25.29,69,18,18.92,3.3,"(2020, 2, 10)"
Sayville,US,-73.08,40.74,93,90,7.22,2.1,"(2020, 2, 10)"
Cidreira,BR,-50.21,-30.18,62,70,22.91,5.98,"(2020, 2, 10)"
Nouadhibou,MR,-17.03,20.93,39,0,19.0,7.7,"(2020, 2, 10)"
Punta Arenas,CL,-70.92,-53.15,66,100,9.0,1.5,"(2020, 2, 10)"
Luga,RU,29.85,58.74,96,100,2.48,5.29,"(2020, 2, 10)"
Bilibino,RU,166.44,68.05,38,0,-26.26,1.8,"(2020, 2, 10)"
Murfreesboro,US,-86.39,35.85,100,90,13.89,1.5,"(2020, 2, 10)"
Chokurdakh,RU,147.92,70.63,71,100,-29.57,1.08,"(2020, 2, 10)"
Bethel,US,-73.41,41.37,100,90,6.67,1.34,"(2020, 2, 10)"
Pahrump,US,-115.98,36.21,22,1,14.44,2.6,"(2020, 2, 10)"
Bandarbeyla,SO,50.81,9.49,72,88,24.43,6.68,"(2020, 2, 10)"
Laguna,US,-121.42,38.42,27,1,19.44,4.6,"(2020, 2, 10)"
Labuhan,ID,112.21,-6.88,71,76,29.33,1.43,"(2020, 2, 10)"
Barrow,US,-156.79,71.29,98,1,-37.0,5.7,"(2020, 2, 10)"
'Ahuimanu,US,-157.84,21.44,100,75,21.0,4.6,"(2020, 2, 10)"
Poum,NC,164.02,-20.23,84,100,27.71,18.68,"(2020, 2, 10)"
Turgutlu,TR,27.7,38.5,82,40,9.0,2.6,"(2020, 2, 10)"
Marsh Harbour,BS,-77.06,26.54,81,0,23.03,7.55,"(2020, 2, 10)"
Kostanay,KZ,63.58,53.17,85,90,-12.0,6.0,"(2020, 2, 10)"
Birao,CF,22.79,10.28,19,0,16.14,5.58,"(2020, 2, 10)"
Eilat,IL,34.95,29.56,76,20,9.0,2.31,"(2020, 2, 10)"
Fukuecho,JP,128.84,32.69,62,75,13.0,4.1,"(2020, 2, 10)"
Hithadhoo,MV,73.08,-0.6,77,17,28.38,7.24,"(2020, 2, 10)"
Bambous Virieux,MU,57.76,-20.34,88,75,27.78,5.7,"(2020, 2, 10)"
Faanui,PF,-151.75,-16.48,79,0,28.04,6.18,"(2020, 2, 10)"
Coahuayana Viejo,MX,-103.68,18.73,83,5,21.0,1.39,"(2020, 2, 10)"
Ilinskaya,RU,40.72,45.72,73,0,-3.33,4.34,"(2020, 2, 10)"
Port Hardy,CA,-127.42,50.7,93,40,3.0,2.1,"(2020, 2, 10)"
Bosaso,SO,49.18,11.28,71,0,23.48,2.4,"(2020, 2, 10)"
Portland,US,-122.68,45.52,70,1,7.22,0.44,"(2020, 2, 10)"
Cape Town,ZA,18.42,-33.93,88,1,19.44,5.1,"(2020, 2, 10)"
Cockburn Town,TC,-71.14,21.46,79,0,25.71,10.63,"(2020, 2, 10)"
Alyangula,AU,136.42,-13.85,56,94,34.0,4.6,"(2020, 2, 10)"
Bahadurganj,IN,87.82,26.27,49,0,17.17,0.72,"(2020, 2, 10)"
Dukat,RU,155.55,62.55,45,10,-21.94,0.46,"(2020, 2, 10)"
Kidal,ML,1.41,18.44,13,18,20.29,5.84,"(2020, 2, 10)"
Elbrus,RU,42.64,43.26,33,0,-18.46,3.02,"(2020, 2, 10)"
Kamenka,RU,42.77,51.32,85,72,-8.89,3.58,"(2020, 2, 10)"
Sao Joao da Barra,BR,-41.05,-21.64,92,100,24.91,2.27,"(2020, 2, 10)"
Mehamn,NO,27.85,71.04,95,100,1.23,4.68,"(2020, 2, 10)"
Luderitz,NA,15.16,-26.65,77,0,19.0,5.1,"(2020, 2, 10)"
Lagoa,PT,-27.98,39.05,82,100,16.56,6.25,"(2020, 2, 10)"
Ulaanbaatar,MN,106.88,47.91,62,0,-7.0,1.12,"(2020, 2, 10)"
Inhambane,MZ,35.38,-23.86,79,99,26.86,5.39,"(2020, 2, 10)"
Svetlogorsk,BY,29.73,52.63,97,100,1.58,6.68,"(2020, 2, 10)"
Kruisfontein,ZA,24.73,-34.0,87,0,16.0,3.67,"(2020, 2, 10)"
Pemangkat,ID,108.97,1.17,67,87,29.53,1.77,"(2020, 2, 10)"
Codrington,AU,141.97,-38.27,93,100,18.53,5.05,"(2020, 2, 10)"
Baoding,CN,115.49,38.85,36,0,8.42,2.58,"(2020, 2, 10)"
Tahta,EG,31.5,26.77,75,0,6.0,2.6,"(2020, 2, 10)"
Isiro,CD,27.62,2.77,41,24,16.82,1.0,"(2020, 2, 10)"
Bulandshahr,IN,77.85,28.4,65,3,10.98,1.87,"(2020, 2, 10)"
Uvat,RU,68.9,59.14,93,100,-14.37,4.33,"(2020, 2, 10)"
Yerbogachen,RU,108.01,61.28,92,100,-20.95,6.17,"(2020, 2, 10)"
Yar-Sale,RU,70.83,66.83,93,100,-11.83,6.42,"(2020, 2, 10)"
Moranbah,AU,148.05,-22.0,36,9,35.74,4.05,"(2020, 2, 10)"
Castro,BR,-50.01,-24.79,93,80,15.47,3.01,"(2020, 2, 10)"
Vila,PT,-8.16,42.03,100,75,13.33,1.0,"(2020, 2, 10)"
Ovalle,CL,-71.2,-30.6,82,0,14.63,0.3,"(2020, 2, 10)"
Werda,BW,23.28,-25.27,66,0,22.08,7.45,"(2020, 2, 10)"
Belyy Yar,RU,91.39,53.6,66,100,-12.0,4.0,"(2020, 2, 10)"
Estepona,ES,-5.15,36.43,87,0,12.0,2.6,"(2020, 2, 10)"
Katobu,ID,122.53,-4.94,78,92,28.99,2.24,"(2020, 2, 10)"
Dondo,MZ,34.74,-19.61,98,100,23.21,1.03,"(2020, 2, 10)"
Maniitsoq,GL,-52.9,65.42,68,100,-11.94,6.02,"(2020, 2, 10)"
Feijo,BR,-70.35,-8.16,98,90,22.63,1.82,"(2020, 2, 10)"
Nanortalik,GL,-45.24,60.14,80,100,-6.39,10.36,"(2020, 2, 10)"
Kenai,US,-151.26,60.55,57,1,-6.0,2.6,"(2020, 2, 10)"
Cacoal,BR,-61.45,-11.44,96,75,22.19,1.24,"(2020, 2, 10)"
Padang,ID,100.35,-0.95,77,8,26.17,0.6,"(2020, 2, 10)"
Klaksvik,FO,-6.59,62.23,80,63,2.0,4.6,"(2020, 2, 10)"
Sobolevo,RU,31.9,54.43,98,100,1.73,4.55,"(2020, 2, 10)"
Vilhena,BR,-60.15,-12.74,94,100,20.65,0.25,"(2020, 2, 10)"
Port Lincoln,AU,135.87,-34.73,74,100,20.93,5.6,"(2020, 2, 10)"
Gubskaya,RU,40.64,44.32,63,0,-6.78,2.75,"(2020, 2, 10)"
Mount Gambier,AU,140.77,-37.83,73,90,21.0,6.7,"(2020, 2, 10)"
Butaritari,KI,172.79,3.07,81,100,28.49,9.29,"(2020, 2, 10)"
Waingapu,ID,120.26,-9.66,74,100,28.18,3.9,"(2020, 2, 10)"
Huntingdon,GB,-0.19,52.33,69,0,4.0,11.3,"(2020, 2, 10)"
Kununurra,AU,128.73,-15.77,44,40,37.0,1.5,"(2020, 2, 10)"
Brae,GB,-1.35,60.4,75,43,6.0,6.7,"(2020, 2, 10)"
Linxia,CN,103.21,35.6,18,0,2.75,0.86,"(2020, 2, 10)"
Nyurba,RU,118.33,63.28,93,93,-21.73,3.61,"(2020, 2, 10)"
Geraldton,AU,114.6,-28.77,43,68,32.0,4.1,"(2020, 2, 10)"
Saint-Pierre,RE,55.48,-21.34,88,21,27.0,5.7,"(2020, 2, 10)"
Tuy Hoa,VN,109.3,13.08,81,43,23.96,5.97,"(2020, 2, 10)"
Kalmunai,LK,81.82,7.42,75,82,27.07,7.68,"(2020, 2, 10)"
Pudozh,RU,36.53,61.81,95,100,1.73,6.82,"(2020, 2, 10)"
Tahoua,NE,5.27,14.89,13,0,20.0,6.2,"(2020, 2, 10)"
Fort-Shevchenko,KZ,50.26,44.51,48,0,-5.33,3.56,"(2020, 2, 10)"
Kaitangata,NZ,169.85,-46.28,85,82,12.77,10.63,"(2020, 2, 10)"
Voh,NC,164.7,-20.97,84,100,27.29,7.24,"(2020, 2, 10)"
Dikson,RU,80.55,73.51,92,0,-28.29,2.98,"(2020, 2, 10)"
Arraial do Cabo,BR,-42.03,-22.97,95,100,23.7,3.73,"(2020, 2, 10)"
Tiznit,MA,-9.5,29.58,18,0,13.56,3.78,"(2020, 2, 10)"
San Luis,AR,-66.34,-33.3,53,13,22.13,6.88,"(2020, 2, 10)"
Seoul,KR,126.98,37.57,31,1,11.0,1.0,"(2020, 2, 10)"
Prince Rupert,CA,-130.32,54.32,93,90,5.0,8.7,"(2020, 2, 10)"
Henties Bay,NA,14.28,-22.12,94,31,16.67,1.34,"(2020, 2, 10)"
Poanas,MX,-103.62,25.77,22,20,27.0,5.1,"(2020, 2, 10)"
La Libertad,EC,-80.9,-2.23,83,40,27.0,4.1,"(2020, 2, 10)"
Laas,IT,10.7,46.62,55,75,3.0,3.1,"(2020, 2, 10)"
Cayenne,GF,-52.33,4.93,88,90,26.0,1.5,"(2020, 2, 10)"
Pauini,BR,-66.98,-7.71,94,100,23.04,1.09,"(2020, 2, 10)"
Changping,CN,116.22,40.22,52,0,9.44,1.0,"(2020, 2, 10)"
Chacabuco,AR,-60.47,-34.64,81,0,15.0,0.45,"(2020, 2, 10)"
Leshukonskoye,RU,45.76,64.9,91,100,-0.36,6.15,"(2020, 2, 10)"
Brigantine,US,-74.36,39.41,100,90,11.67,2.44,"(2020, 2, 10)"
Yuzhno-Kurilsk,RU,145.86,44.03,78,70,-4.56,9.59,"(2020, 2, 10)"
Cairns,AU,145.77,-16.92,70,2,34.44,5.7,"(2020, 2, 10)"
Tual,ID,132.75,-5.67,78,100,27.73,7.06,"(2020, 2, 10)"
Severo-Kuril'sk,RU,156.12,50.68,88,100,-6.29,10.0,"(2020, 2, 10)"
Lorengau,PG,147.27,-2.02,79,88,28.45,8.11,"(2020, 2, 10)"
Cherskiy,RU,161.3,68.75,61,0,-23.62,4.62,"(2020, 2, 10)"
Vostok,RU,135.88,46.49,76,3,-7.13,1.52,"(2020, 2, 10)"
Vila Franca do Campo,PT,-25.43,37.72,82,75,17.0,3.1,"(2020, 2, 10)"
Vila Velha,BR,-40.29,-20.33,100,75,25.0,1.5,"(2020, 2, 10)"
Magdagachi,RU,125.8,53.45,94,100,-13.29,2.91,"(2020, 2, 10)"
Saint George,US,-113.58,37.1,26,1,8.0,17.5,"(2020, 2, 10)"
Ilhabela,BR,-45.36,-23.78,87,100,22.02,5.59,"(2020, 2, 10)"
San Giovanni in Fiore,IT,16.7,39.26,93,75,15.56,8.2,"(2020, 2, 10)"
Pipar,IN,73.54,26.39,36,0,14.23,4.03,"(2020, 2, 10)"
Antalaha,MG,50.28,-14.9,77,0,26.58,7.43,"(2020, 2, 10)"
Tamboril,DO,-70.61,19.49,94,40,24.0,4.1,"(2020, 2, 10)"
Cabo San Lucas,MX,-109.91,22.89,88,75,20.0,4.6,"(2020, 2, 10)"
Antofagasta,CL,-70.4,-23.65,82,20,19.0,3.1,"(2020, 2, 10)"
Gao,ML,1.64,16.64,15,0,20.49,6.47,"(2020, 2, 10)"
Maceio,BR,-35.74,-9.67,94,20,25.0,1.5,"(2020, 2, 10)"
Dubbo,AU,148.62,-32.25,69,75,26.0,3.1,"(2020, 2, 10)"
Senno,RU,33.92,59.53,92,100,1.11,3.58,"(2020, 2, 10)"
Sao Filipe,CV,-24.5,14.9,61,0,21.63,6.81,"(2020, 2, 10)"
Havelock,US,-76.9,34.88,72,20,18.33,3.1,"(2020, 2, 10)"
Lukovetskiy,RU,41.92,64.3,90,90,2.0,5.0,"(2020, 2, 10)"
Bonavista,CA,-53.11,48.65,90,100,-1.67,1.79,"(2020, 2, 10)"
Edson,CA,-116.44,53.58,47,90,1.0,2.6,"(2020, 2, 10)"
Alice Springs,AU,133.88,-23.7,14,41,36.0,3.1,"(2020, 2, 10)"
Ambagarh Chauki,IN,80.72,20.78,39,0,17.56,4.08,"(2020, 2, 10)"
Egvekinot,RU,-179.17,66.32,83,0,-28.98,1.1,"(2020, 2, 10)"
Te Anau,NZ,167.72,-45.42,49,33,15.09,1.64,"(2020, 2, 10)"
Arrondissement de Reims,FR,4.08,49.17,86,90,5.56,5.7,"(2020, 2, 10)"
Soe,ID,124.28,-9.86,61,47,30.21,2.25,"(2020, 2, 10)"
Jalingo,NG,11.37,8.88,18,47,21.29,4.28,"(2020, 2, 10)"
Pisco,PE,-76.22,-13.7,83,40,21.67,4.6,"(2020, 2, 10)"
Azare,NG,10.19,11.68,16,0,17.14,4.23,"(2020, 2, 10)"
San Luis de Palenque,CO,-71.73,5.42,53,3,26.13,2.47,"(2020, 2, 10)"
Xalapa,MX,-96.92,19.53,77,1,15.15,1.72,"(2020, 2, 10)"
Progress,US,-76.83,40.29,100,90,6.67,0.73,"(2020, 2, 10)"
Talas,TR,35.55,38.69,70,33,-17.0,0.5,"(2020, 2, 10)"
Ulaangom,MN,92.07,49.98,96,100,-14.99,2.13,"(2020, 2, 10)"
Requena,ES,-1.1,39.49,81,0,14.44,2.1,"(2020, 2, 10)"
Katherine,AU,132.27,-14.47,59,75,34.0,6.7,"(2020, 2, 10)"
Ixtapa,MX,-105.2,20.7,83,5,24.0,1.08,"(2020, 2, 10)"
Pierre,US,-100.35,44.37,79,75,-2.22,4.1,"(2020, 2, 10)"
Wuwei,CN,102.64,37.93,9,0,5.29,1.01,"(2020, 2, 10)"
Juazeiro do Norte,BR,-39.32,-7.21,83,40,26.0,3.6,"(2020, 2, 10)"
Sioux Lookout,CA,-91.92,50.1,85,90,-7.0,6.2,"(2020, 2, 10)"
Lufkin,US,-94.73,31.34,93,90,13.33,4.6,"(2020, 2, 10)"
Ryabovo,RU,31.13,59.4,80,90,4.0,5.0,"(2020, 2, 10)"
Nizhniy Kuranakh,RU,125.49,58.84,93,100,-11.87,4.82,"(2020, 2, 10)"
Kumul,CN,93.45,42.8,50,0,-5.81,1.0,"(2020, 2, 10)"
Muravlenko,RU,74.52,63.79,93,100,-13.74,7.47,"(2020, 2, 10)"
Mandera,KE,41.87,3.94,73,1,24.65,6.16,"(2020, 2, 10)"
Mareeba,AU,145.43,-17.0,70,0,34.44,5.7,"(2020, 2, 10)"
Saint-Philippe,RE,55.77,-21.36,88,24,27.0,5.7,"(2020, 2, 10)"
Tashtyp,RU,89.9,52.79,93,100,-12.08,1.54,"(2020, 2, 10)"
Mitsamiouli,KM,43.28,-11.38,88,20,25.0,4.6,"(2020, 2, 10)"
Kargil,IN,76.1,34.57,62,83,-20.97,0.69,"(2020, 2, 10)"
Sillod,IN,75.65,20.3,82,20,18.0,1.5,"(2020, 2, 10)"
Oistins,BB,-59.53,13.07,83,40,25.0,10.8,"(2020, 2, 10)"
Torbay,CA,-52.73,47.67,86,90,-1.11,7.2,"(2020, 2, 10)"
Bebedouro,BR,-48.48,-20.95,96,100,21.28,2.66,"(2020, 2, 10)"
Kupang,ID,123.58,-10.17,74,40,29.0,5.1,"(2020, 2, 10)"
Takoradze,GH,-1.76,4.88,90,80,25.28,0.98,"(2020, 2, 10)"
Trat,TH,102.5,12.5,55,75,30.0,3.6,"(2020, 2, 10)"
Rusape,ZW,32.13,-18.53,96,100,18.05,3.42,"(2020, 2, 10)"
Mersa Matruh,EG,27.25,31.35,76,40,11.0,5.7,"(2020, 2, 10)"
Sladkovo,RU,70.34,55.53,95,94,-17.14,4.35,"(2020, 2, 10)"
Bar Harbor,US,-68.2,44.39,92,20,1.67,2.55,"(2020, 2, 10)"
Mount Isa,AU,139.5,-20.73,18,0,36.0,5.1,"(2020, 2, 10)"
Mirabad,AF,61.84,30.44,58,74,18.0,9.63,"(2020, 2, 10)"
Arrondissement de Verdun,FR,5.33,49.25,91,92,5.56,5.36,"(2020, 2, 10)"
Honiara,SB,159.95,-9.43,79,90,31.0,6.2,"(2020, 2, 10)"
Carutapera,BR,-46.02,-1.2,81,100,27.29,6.19,"(2020, 2, 10)"
Sorland,NO,12.69,67.67,78,100,5.11,7.84,"(2020, 2, 10)"
Falun,SE,15.63,60.6,74,92,1.11,3.6,"(2020, 2, 10)"
Abonnema,NG,6.79,4.71,83,22,22.0,2.67,"(2020, 2, 10)"
